desc_id,description,freq_mentioned,targets
28,康复,9,"吃, 去医院, 护理中心, 康复训练, 康复训练, 按摩, 按摩, 脖子, 腿, 脚, 护工"
29,中毒,3,"吃, 吸, 酒"
30,胖,8,"吃, 虾, 螃蟹, 螃蟹, 狗, 猫, 老鼠, 腹部, 男孩"
31,早晨,38,"吃, 锻炼, 喝, 嚼, 尝, 吹, 睡觉, 吃饭, 工作, 洗澡, 刷牙, 洗脸, 穿衣服, 穿鞋, 去医院, 说话, 起床, 吃药, 穿鞋, 墨镜, 剃须刀, 出租车, 牙齿, 包子, 面条, 咖啡, 毛巾, 洗面奶, 煮锅, 牙刷, 牙膏, 碗, 浴缸, 灯, 镜子, 马桶, 米饭, 馒头, 鸟"
32,中午,22,"吃, 喝, 嚼, 尝, 吹, 睡觉, 吃饭, 午睡, 打电话, 去医院, 说话, 起床, 吃药, 背心, 墨镜, 面条, 枕头, 煮锅, 碗, 床, 米饭, 馒头"
33,晚上,48,"吃, 锻炼, 喝, 嚼, 尝, 吹, 睡觉, 吃饭, 睡觉, 看电视, 打电话, 洗澡, 刷牙, 洗脸, 穿衣服, 去医院, 回家, 玩手机, 说话, 吃药, 回家, 背心, 出租车, 发烧, 牙齿, 面条, 脸盆, 洗脚盆, 枕头, 毛巾, 毛毯, 沐浴露, 洗发露, 洗面奶, 煮锅, 牙刷, 牙膏, 碗, 被子, 瘙痒, 浴缸, 灯, 灯, 镜子, 马桶, 电视机, 米饭, 馒头, 月, 月, 星星, 月亮"
34,餐厅,59,"吃, 吞, 喝, 嚼, 尝, 擦, 吃饭, 厨房, 厨房, 面条, 可乐, 茶, 玉米, 牛肉, 牛肉, 猪肉, 猪肉, 鸡蛋, 手套, 刀子, 勺子, 杯子, 煮锅, 碗, 餐巾, 嘴巴, 冰箱, 微波炉, 空调, 风扇, 电视机, 米饭, 通心粉, 面包, 饼, 馒头, 香肠, 果汁, 果汁, 水, 水, 汽水, 汽水, 牛奶, 酒, 酒, 酸奶, 柠檬, 梨, 樱桃, 橙子, 洋葱, 牛油果, 白萝卜, 胡萝卜, 香菜, 黄瓜, 羊肉, 蛋黄, 香肠, 鸡肉, 鸭肉, 鱼肉, 蟑螂, 蟑螂, 外卖员, 服务员, 清洁工"
35,食堂,21,"吃, 嚼, 尝, 吃饭, 厨房, 面条, 玉米, 牛肉, 猪肉, 鸡蛋, 学校, 米饭, 馒头, 香肠, 洋葱, 生姜, 番茄, 白菜, 白萝卜, 胡萝卜, 苹果"
36,家,129,"吃, 吸, 抱, 吃饭, 睡觉, 午睡, 看书, 看电视, 打电话, 洗澡, 刷牙, 洗脸, 穿衣服, 穿鞋, 回家, 玩手机, 说话, 视频, 起床, 吃药, 穿鞋, 去医院, 回家, 厨房, 窗边, 背心, 剃须刀, 充电器, 药膏, 洗手池, 吹风机, 面条, 可乐, 茶, 玉米, 牛肉, 猪肉, 鸡蛋, 狗, 猫, 客厅, 电梯, 门口, 阳台, 公园, 医院, 内衣, 睡衣, 短裤, 秋衣, 衬衣, 袖子, 裙子, 杯子, 毛巾, 毛毯, 洗面奶, 笔, 笔记本, 纸, 花瓶, 茶壶, 被子, 头痛, 感冒, 淤青, 瘙痒, 胃痛, 高肌张力, 药, 中药, 药片, 胶囊, 脚, 地毯, 床, 抽屉, 柜子, 桌子, 桌子, 椅子, 沙发, 浴缸, 灯, 窗户, 茶几, 镜子, 门, 门, 马桶, 空调, 风扇, 电脑, 电视机, 果汁, 水, 汽水, 牛奶, 酒, 酸奶, 柠檬, 梨, 樱桃, 橙子, 芒果, 苹果, 蟑螂, 丈夫, 保姆, 护工, 儿子, 兄弟, 外公, 外公, 外婆, 外婆, 女人, 女儿, 女孩, 奶奶, 奶奶, 妻子, 姐妹, 姐妹, 姑姑, 姑父, 母亲, 父亲, 侄子, 侄子, 侄女, 侄女, 外甥, 外甥, 外甥女, 外甥女, 阿姨, 阿姨, 叔叔, 叔叔, 婶婶, 婶婶, 舅舅, 舅舅, 舅妈, 舅妈"
37,酒店,14,"吃, 吃饭, 睡觉, 洗澡, 刷牙, 洗脸, 可乐, 茶, 床单, 床单, 床, 抽屉, 柜子, 服务员, 服务员, 清洁工"
38,嘴,71,"吃, 吞, 吐, 喝, 吹, 吃饭, 打电话, 说话, 喝水, 吃药, 说话, 牙齿, 牙齿, 茶, 公园, 药店, 菜市场, 口罩, 勺子, 叉子, 口红, 杯子, 煮锅, 牙刷, 牙膏, 碗, 筷子, 纸巾, 茶壶, 药, 药, 中药, 中药, 药片, 药片, 胶囊, 胶囊, 口罩, 鼻子, 手机, 笔记本电脑, 米饭, 米饭, 糖果, 蛋糕, 蛋糕, 通心粉, 通心粉, 面包, 面包, 饼, 饼, 饼干, 馒头, 香肠, 果汁, 水, 汽水, 牛奶, 酒, 酸奶, 柠檬, 梨, 樱桃, 橙子, 洋葱, 牛油果, 生姜, 番茄, 白菜, 白萝卜, 胡萝卜, 火龙果, 芒果, 苹果, 香菜, 香蕉, 黄瓜, 羊肉, 蛋黄, 香肠, 香肠, 鸡肉, 鸭肉, 鱼肉"
39,舌头,6,"吃, 尝, 吃饭, 牙齿, 牙刷, 牙膏"
40,围裙,9,"吃, 吃饭, 厨房, 菜市场, 刀子, 勺子, 平底锅, 保姆, 售货员"
41,吃,62,"吃, 吸, 吸, 咬, 吞, 吐, 喝, 嚼, 尝, 吹, 吃饭, 吃饭, 牙齿, 牙齿, 包子, 巧克力, 面条, 南瓜, 玉米, 鸡蛋, 螃蟹, 狗, 猫, 虫, 蚂蚁, 药店, 街, 手套, 叉子, 下巴, 嘴巴, 米饭, 米饭, 糖果, 糖果, 糖果, 蛋糕, 蛋糕, 通心粉, 通心粉, 面包, 面包, 饼, 饼, 饼干, 饼干, 馒头, 馒头, 香肠, 香肠, 柠檬, 柠檬, 梨, 梨, 樱桃, 樱桃, 橙子, 橙子, 洋葱, 牛油果, 生姜, 番茄, 白菜, 白萝卜, 胡萝卜, 火龙果, 芒果, 苹果, 香菜, 香蕉, 黄瓜, 羊肉, 蛋黄, 蛋黄, 香肠, 鸡肉, 鸡肉, 鸭肉, 鸭肉, 鱼肉, 鱼肉, 鱼, 下午, 季节"
42,活,3,"吃, 吃饭, 睡觉"
43,咬,5,"吃, 吃饭, 狗, 虫, 笔"
44,吸,8,"吃, 面条, 可乐, 咖啡, 汽水, 牛奶, 酒, 酸奶"
45,喝,19,"吃, 吸, 咬, 吐, 喝, 嚼, 尝, 吹, 吃药, 可乐, 咖啡, 茶, 茶, 鸡蛋, 果汁, 水, 汽水, 牛奶, 酒, 酸奶"
46,轻松,22,"吸, 学习, 锻炼, 走, 看书, 看电视, 打电话, 洗澡, 刷牙, 洗脸, 回家, 回家, 玩手机, 运动鞋, 猫, 苍蝇, 叶子, 长裤, 凉鞋, 腿, 手机, 耳机, 星星"
47,健康,8,"吸, 锻炼, 喝水, 运动鞋, 公园, 口罩, 果汁, 青菜"
48,生病,37,"吸, 吐, 转身, 吃药, 吃药, 去医院, 去医院, 发烧, 发烧, 药膏, 老鼠, 苍蝇, 虫, 内衣, 咳嗽, 咳嗽, 咳嗽, 喷嚏, 喷嚏, 头晕, 胃痛, 药, 药, 中药, 中药, 中药, 药片, 药片, 药片, 胶囊, 胶囊, 胶囊, 背, 胳膊, 胳膊, 脖子, 脖子, 脖子, 腿, 脚, 脚, 柠檬, 梨, 梨, 橙子, 西兰花, 蚊子, 医生, 外公, 外婆, 奶奶, 爷爷, 爷爷, 老人, 护士, 理疗师"
49,户外,13,"吸, 出门, 扔, 走, 说话, 墨镜, 充电器, 出租车, 阴天, 围巾, 帽子, 毛巾, 晴天"
50,手,107,"吸, 学习, 锻炼, 扶, 扶, 扶, 抱, 抱, 抓, 抓, 抓, 推, 推, 拿, 拿, 拿, 撕, 捡, 拍, 吃饭, 睡觉, 午睡, 工作, 休息, 看书, 上班, 打电话, 洗澡, 刷牙, 洗脸, 穿衣服, 穿鞋, 玩手机, 玩手机, 血糖仪, 洗手池, 茶, 门口, 书店, 菜市场, 银行, 手套, 刀子, 勺子, 手写板, 脸盆, 洗脚盆, 叉子, 口红, 口红, 平底锅, 杯子, 牙刷, 牙膏, 碗, 笔, 笔记本, 筷子, 纸, 纸巾, 肥皂, 花瓶, 茶壶, 餐巾, 手, 手, 手指, 手指, 胳膊, 脖子, 脚, 指甲, 指甲, 书架, 抽屉, 柜子, 桌子, 茶几, 门, 冰箱, 微波炉, 洗衣机, 空调, 风扇, 平板电脑, 平板电脑, 手机, 手机, 电脑, 电视机, 笔记本电脑, 笔记本电脑, 果汁, 水, 汽水, 牛奶, 酒, 酸奶, 柠檬, 梨, 樱桃, 橙子, 洋葱, 洋葱, 牛油果, 牛油果, 生姜, 番茄, 番茄, 白菜, 白萝卜, 胡萝卜, 火龙果, 芒果, 苹果, 苹果, 香菜, 香蕉, 黄瓜, 羊肉, 蛋黄, 香肠, 鸡肉, 鸭肉, 鱼肉, 蚊子, 鸟"
51,解渴,10,"吸, 可乐, 茶, 果汁, 果汁, 水, 水, 汽水, 汽水, 牛奶, 酒, 菠萝, 西瓜"
52,轻,149,"敲, 咬, 吹, 点头, 摇头, 低头, 抬头, 扶, 抱, 推, 拿, 撕, 捡, 打, 擦, 拍, 按, 插, 摇, 转身, 躺下, 睡觉, 蹲下, 弯腰, 后退, 进, 背心, 背心, 背心, 墨镜, 充电器, 吹风机, 南瓜, 土豆, 玉米, 牛肉, 猪肉, 鸡蛋, 扇贝, 虾, 螃蟹, 狗, 猫, 老鼠, 叶子, 树枝, T恤, 内衣, 睡衣, 短裤, 秋衣, 衬衣, 袖子, 长裤, 卫衣, 凉鞋, 发卡, 发箍, 口罩, 口袋, 围巾, 头绳, 帽子, 手套, 拖鞋, 眼镜, 胸罩, 袖子, 袖子, 袜子, 鞋带, 领带, 勺子, 脸盆, 洗脚盆, 床单, 叉子, 口红, 枕头, 毛巾, 毛毯, 沐浴露, 洗发露, 洗面奶, 牙刷, 牙刷, 牙膏, 笔, 笔记本, 筷子, 纸, 纸巾, 餐巾, 自行车, 轮椅, 药片, 胶囊, 开塞露, 口罩, 下巴, 嘴巴, 头发, 指甲, 地毯, 抽屉, 灯, 镜子, 风扇, 平板电脑, 笔记本电脑, 耳机, 米饭, 糖果, 通心粉, 面包, 饼干, 馒头, 水, 柠檬, 樱桃, 樱桃, 洋葱, 牛油果, 生姜, 番茄, 胡萝卜, 火龙果, 芒果, 苹果, 茄子, 菠菜, 葡萄, 蘑菇, 西兰花, 豆角, 青椒, 青菜, 香菜, 香蕉, 黄瓜, 羊肉, 蛋黄, 香肠, 鸡肉, 鸭肉, 鱼肉, 蚊子, 蟑螂, 鱼, 鸟, 花, 草, 秒钟, 雨, 雨天, 雪"
53,重,91,"敲, 咬, 嚼, 吹, 点头, 摇头, 低头, 抬头, 抱, 抓, 抓, 推, 按, 插, 跑, 踢, 充电器, 充电器, 吹风机, 可乐, 南瓜, 土豆, 玉米, 牛肉, 猪肉, 螃蟹, 狗, 猫, 树, 树枝, 背包, 靴子, 平底锅, 枕头, 沐浴露, 洗发露, 煮锅, 花瓶, 茶壶, 被子, 公共汽车, 救护车, 火车, 车, 飞机, 矫正板, 血压仪, 轮椅, 康复训练, 按摩, 肩, 腿, 书架, 地板, 墙壁, 床, 柜子, 桌子, 椅子, 沙发, 浴缸, 茶几, 门, 马桶, 冰箱, 微波炉, 洗衣机, 空调, 电脑, 电视机, 蛋糕, 饼, 香肠, 梨, 橙子, 白菜, 白萝卜, 火龙果, 火龙果, 芒果, 菠萝, 西瓜, 羊肉, 鸡肉, 鸭肉, 鱼, 树干, 月, 云, 太阳, 星星, 晴天, 月亮, 雷电"
54,痛,3,"敲, 腿, 腹部, 腹部"
55,门,5,"敲, 推, 门口, 地毯, 墙壁"
56,电脑,14,"敲, 工作, 上班, 玩手机, 视频, 视频, 中午, 家, 家, 手写板, 耳机, 下午, 分钟, 女人, 女人, 妻子, 老师"
57,老师,22,"敲, 写, 画, 视频, 茶, 上午, 学校, 眼镜, 眼镜, 手写板, 馒头, 果汁, 水, 汽水, 牛奶, 酒, 酸奶, 梨, 樱桃, 橙子, 胡萝卜, 同学, 同学, 同学, 学生, 学生, 学生"
58,教授,3,"敲, 同学, 学生"
59,学生,10,"敲, 写, 打电话, 玩手机, 视频, 玩手机, 眼镜, 背包, 肩, 下午, 老师"
60,庆祝,6,"敲, 抱, 酒, 外公, 外婆, 奶奶"
61,打,3,"敲, 屁股, 蟑螂"
62,深,3,"学习, 睡觉, 午睡"
63,浅,3,"学习, 睡觉, 睡觉, 午睡"
64,努力,3,"学习, 锻炼, 清洁工"
65,学校,18,"学习, 说话, 袖子, 眼镜, 背包, 肩, 洗衣机, 水, 下午, 同学, 同学, 学生, 学生, 年轻人, 兄弟, 女人, 女孩, 姐妹, 姐妹, 男孩, 老师"
66,桌子,21,"学习, 擦, 按, 午睡, 看书, 中午, 杯子, 笔, 笔记本, 筷子, 纸, 纸巾, 纸巾, 花瓶, 花瓶, 茶壶, 茶壶, 餐巾, 餐巾, 餐巾, 书架, 桌子, 茶几, 树干, 保姆, 男孩"
67,教练,3,"学习, 运动鞋, 背"
68,考试,12,"学习, 同学, 同学, 同学, 学生, 学生, 学生, 儿子, 儿子, 儿子, 女儿, 女儿, 女儿, 女孩, 小孩, 小孩, 男孩, 侄子, 侄女, 外甥, 外甥女"
69,运动场,8,"锻炼, 转身, 跑, 休息, 运动鞋, 毛巾, 秒钟, 男孩"
70,锻炼,41,"锻炼, 锻炼, 出门, 拍, 摇, 扔, 转身, 蹲下, 跑, 跑, 走, 睡觉, 午睡, 休息, 休息, 洗澡, 穿鞋, 穿鞋, 喝水, 背心, 背心, 背心, 背心, 运动鞋, 运动鞋, 运动鞋, 运动鞋, 公园, 公园, 长裤, 卫衣, 卫衣, 帽子, 帽子, 毛巾, 沐浴露, 洗发露, 背, 背, 背, 背, 胳膊, 胳膊, 胳膊, 胳膊, 胳膊, 胸, 胸, 胸, 脖子, 脖子, 腿, 腹部, 腹部, 腹部, 膝盖, 香蕉, 香蕉, 夏季, 秒钟, 护工, 姐妹, 朋友, 朋友, 母亲, 父亲, 男人, 男孩"
71,身体,36,"锻炼, 推, 睡觉, 午睡, 工作, 休息, 上班, 洗澡, 穿衣服, 背心, 背心, 药膏, 浴室, 浴室, 公园, 广场, T恤, 外套, 大衣, 毛衣, 睡衣, 秋衣, 衬衣, 袖子, 裙子, 卫衣, 卫衣, 毛巾, 毛巾, 毛毯, 沐浴露, 被子, 淤青, 瘙痒, 高肌张力, 胳膊, 脚, 腰, 床, 浴缸"
72,脚,20,"锻炼, 出门, 走, 洗澡, 穿鞋, 去医院, 回家, 穿鞋, 皮鞋, 运动鞋, 凉鞋, 拖鞋, 袜子, 靴子, 鞋带, 鞋带, 洗脚盆, 指甲, 地板, 地毯, 蚊子, 蟑螂"
73,腿,25,"锻炼, 出门, 捡, 跑, 踢, 踢, 走, 睡觉, 午睡, 工作, 休息, 上班, 上厕所, 洗澡, 药膏, 楼梯, 街, 长裤, 轮椅, 矫正板, 轮椅, 屁股, 胳膊, 桌子, 椅子, 沙发, 蚊子"
74,鞋子,22,"锻炼, 后退, 进, 跑, 客厅, 门口, 凉鞋, 拖鞋, 袜子, 靴子, 鞋带, 鞋带, 脚, 儿子, 外公, 外婆, 女人, 女人, 女人, 女儿, 女孩, 奶奶, 妻子, 妻子, 妻子, 男孩, 男孩, 男孩, 老人"
75,司机,6,"锻炼, 停车场, 出租车, 雾, 分钟, 分钟, 快递员"
76,车,12,"出门, 打, 擦, 上班, 书店, 酒, 护工, 儿子, 儿子, 儿子, 儿子, 儿子, 女儿, 女儿, 女儿, 女儿, 女儿, 女孩, 女孩, 女孩, 女孩, 女孩, 小孩, 护士"
77,自行车,18,"出门, 上班, 回家, 去医院, 回家, 中午, 书店, 公园, 学校, 路, 外套, 腿, 腿, 脚, 灯, 儿子, 女儿, 女孩, 男孩, 老人"
78,汽车,40,"出门, 出门, 扶, 工作, 上班, 去医院, 去医院, 回家, 回家, 去医院, 回家, 窗边, 停车场, 中午, 雾, 家, 家, 家, 书店, 书店, 公园, 公园, 公园, 医院, 医院, 路, 桌子, 椅子, 沙发, 灯, 窗户, 镜子, 门, 空调, 空调, 耳机, 香菜, 香蕉, 黄瓜, 羊肉, 蛋黄, 香肠, 鸡肉, 鸭肉, 鱼肉, 分钟, 分钟, 外公, 外婆, 女人, 女人, 奶奶, 妻子, 姐妹, 姐妹"
79,地铁,10,"出门, 上班, 去医院, 回家, 去医院, 回家, 家, 学校, 手机, 分钟, 分钟, 女人, 姐妹"
80,火车,19,"出门, 睡觉, 桌子, 椅子, 灯, 窗户, 镜子, 门, 马桶, 空调, 笔记本电脑, 香蕉, 黄瓜, 羊肉, 蛋黄, 香肠, 鸡肉, 鸭肉, 鱼肉"
81,晴天,9,"出门, 墨镜, 阳台, 书店, 公园, 太阳, 太阳, 太阳, 星星, 星星, 星星, 晴天, 月亮, 月亮, 月亮"
82,上班,19,"出门, 走, 起床, 皮鞋, 上午, 头绳, 背包, 下午, 丈夫, 邻居, 女人, 妻子, 母亲, 父亲, 阿姨, 叔叔, 婶婶, 舅舅, 舅妈"
83,吃饭,64,"出门, 咬, 咬, 嚼, 走, 厨房, 皮鞋, 包子, 面条, 可乐, 茶, 茶, 南瓜, 南瓜, 土豆, 土豆, 鸡蛋, 鸡蛋, 虾, 虾, 螃蟹, 螃蟹, 上午, 中午, 中午, 公园, 公园, 郊外, 勺子, 煮锅, 煮锅, 煮锅, 碗, 碗, 筷子, 餐巾, 餐巾, 药, 中药, 药片, 胶囊, 腹部, 鼻子, 桌子, 椅子, 沙发, 茶几, 冰箱, 微波炉, 微波炉, 果汁, 水, 汽水, 牛奶, 酒, 酸奶, 柠檬, 梨, 樱桃, 橙子, 洋葱, 牛油果, 牛油果, 生姜, 番茄, 番茄, 白菜, 白菜, 白萝卜, 白萝卜, 胡萝卜, 胡萝卜, 火龙果, 芒果, 苹果, 菠萝, 葡萄, 西瓜, 鱼, 姐妹, 家人, 朋友, 朋友, 服务员"
84,购买,17,"出门, 走, 背心, 剃须刀, 玉米, 鸡蛋, 螃蟹, 书店, 商店, 商店, 菜市场, 口红, 口红, 口红, 果汁, 汽水, 番茄, 售货员, 快递员, 服务员"
85,社交,9,"出门, 点头, 走, 吃饭, 玩手机, 客厅, 广场, 酒, 邻居"
86,穿戴,34,"出门, 穿鞋, 去医院, 背心, 墨镜, 皮鞋, 运动鞋, T恤, T恤, 内衣, 外套, 大衣, 毛衣, 睡衣, 短裤, 秋衣, 衬衣, 袖子, 裙子, 长裤, 长裤, 卫衣, 卫衣, 凉鞋, 凉鞋, 发卡, 发卡, 发箍, 发箍, 口罩, 口罩, 帽子, 帽子, 手套, 手套, 拖鞋, 拖鞋, 眼镜, 眼镜, 胸罩, 袖子, 袜子, 袜子, 靴子, 靴子, 鞋带, 领带, 口罩, 胸"
87,开车,7,"出门, 去医院, 回家, 停车场, 出租车, 路, 司机"
88,坐车,4,"出门, 走, 去医院, 回家, 回家, 去医院, 回家"
89,交通,9,"出门, 去医院, 去医院, 回家, 回家, 学校, 公共汽车, 救护车, 自行车, 车, 司机"
90,走,20,"出门, 后退, 后退, 进, 进, 去医院, 回家, 去医院, 回家, 树林, 楼梯, 公园, 广场, 街, 街, 郊外, 凉鞋, 脚, 邻居, 邻居, 护工, 外公, 外公, 外婆, 外婆, 奶奶, 奶奶, 爷爷, 老人, 老人"
91,休息,47,"听, 低头, 躺下, 睡觉, 回家, 玩手机, 玩手机, 背心, 发烧, 客厅, 家, 阳台, 拖鞋, 拖鞋, 枕头, 毛毯, 头痛, 感冒, 淤青, 瘙痒, 胃痛, 地毯, 床, 桌子, 椅子, 椅子, 沙发, 沙发, 浴缸, 灯, 窗户, 茶几, 镜子, 门, 平板电脑, 电脑, 电视机, 电视机, 笔记本电脑, 果汁, 水, 汽水, 牛奶, 酸奶, 梨, 樱桃, 橙子, 下午, 下午, 夏季, 外公, 外婆, 奶奶"
92,电视,8,"听, 看电视, 中午, 客厅, 家, 医院, 眼镜, 眼镜, 眼睛"
93,电影院,6,"听, 果汁, 水, 汽水, 酒, 分钟"
94,医院,35,"听, 扶, 去医院, 护理中心, 发烧, 发烧, 发烧, 药膏, 药膏, 药膏, 血糖仪, 血糖仪, 血糖仪, 血糖仪, 牙齿, 牙齿, 洗手池, 药店, 口罩, 头痛, 头痛, 头痛, 头痛, 感冒, 感冒, 感冒, 感冒, 淤青, 淤青, 淤青, 淤青, 瘙痒, 瘙痒, 瘙痒, 瘙痒, 胃痛, 胃痛, 胃痛, 胃痛, 高肌张力, 高肌张力, 高肌张力, 药, 药, 药, 中药, 中药, 中药, 药片, 药片, 药片, 胶囊, 胶囊, 胶囊, 开塞露, 矫正板, 血压仪, 轮椅, 康复训练, 按摩, 脖子, 腹部, 膝盖, 腰, 医生, 护工, 护士, 护士, 理疗师"
95,耳机,4,"听, 平板电脑, 手机, 笔记本电脑"
96,音响,5,"听, 浴室, 学校, 广场, 街"
97,音乐,10,"听, 玩手机, 耳朵, 果汁, 水, 汽水, 雨, 雨天, 雪, 雷电"
98,耳朵,7,"听, 广场, 平板电脑, 手机, 电脑, 笔记本电脑, 耳机, 耳机"
99,兔子,3,"听, 胡萝卜, 胡萝卜, 青菜"
100,台风,5,"听, 夏季, 台风, 雨, 雨天"
101,医生,49,"听, 去医院, 吃药, 去医院, 护理中心, 发烧, 药膏, 血糖仪, 牙齿, 牙齿, 狗, 猫, 医院, 药店, 口罩, 手套, 牙刷, 牙膏, 救护车, 咳嗽, 喷嚏, 头晕, 头痛, 头痛, 感冒, 感冒, 淤青, 淤青, 瘙痒, 瘙痒, 胃痛, 胃痛, 高肌张力, 药, 中药, 药片, 胶囊, 开塞露, 口罩, 矫正板, 血压仪, 轮椅, 康复训练, 按摩, 背, 胳膊, 胸, 脖子, 腿, 脚, 腹部, 膝盖, 腰, 护工, 老人, 护士, 理疗师"
102,点心,4,"咬, 尝, 手机, 下午, 下午"
103,肉,19,"咬, 嚼, 吃饭, 包子, 面条, 菜市场, 大腿, 头, 小腿, 屁股, 手, 手腕, 背, 胳膊, 胸, 腿, 脚, 腹部, 香肠"
104,牙齿,8,"咬, 嚼, 牙刷, 牙刷, 牙膏, 牙膏, 糖果, 汽水, 小孩, 男孩"
105,吃药,9,"吞, 发烧, 头痛, 感冒, 高肌张力, 药, 药, 中药, 中药, 药片, 药片, 胶囊, 胶囊"
106,恶心,3,"吐, 头痛, 蟑螂"
107,难受,6,"吐, 去医院, 医院, 头痛, 胳膊, 鼻子"
108,酒吧,7,"喝, 杯子, 果汁, 水, 汽水, 牛奶, 酒"
109,酒,11,"喝, 喝, 杯子, 头痛, 瘙痒, 胃痛, 药, 膝盖, 晚上, 兄弟, 女人, 姐妹"
110,咖啡,8,"喝, 吹, 书店, 水, 牛奶, 下午, 女人, 姐妹"
111,茶,6,"喝, 吹, 书店, 茶壶, 水, 下午"
112,杯子,23,"喝, 喝水, 吃药, 可乐, 咖啡, 茶, 茶, 勺子, 药, 中药, 药片, 胶囊, 茶几, 果汁, 果汁, 水, 水, 水, 汽水, 汽水, 牛奶, 牛奶, 酸奶, 酸奶, 柠檬, 梨, 樱桃, 橙子, 外公, 老人"
