id,target,description_set,tag
72,外甥女,"童年,家庭主妇,医疗器械,阿尔兹海默症,医疗器械,医疗器械,有电,阿尔兹海默症,打招呼,老人机,阿尔兹海默症,木头,医疗器械,阿尔兹海默症,打招呼",0
73,筷子,"重,脖子,头,突然,手机,慢,表达,学习,上课,快,休息",0
74,番茄,"玻璃,窄,布料,打开,宽,光,家",0
75,眼睛,"电视,纸尿裤,纸尿裤,白色,近,脸,书本,体温",0
76,外甥,"好奇,木头,阿尔兹海默症,打招呼,男,懒散,童年,玩耍,少年,学习,回家,亲戚,调皮,青年,聚会",0
77,袜子,"手,针灸,医院,肉色",0
78,碗,"用力,轻,鸡蛋,车",0
79,尝,"菜,阿尔兹海默症,吃,食堂,中午,点心,早晨,餐厅",0
80,维修工,"维修,耐心,聪明",0
81,扇贝,"粉丝,家庭主妇,家庭主妇,阿尔兹海默症,阿尔兹海默症",0
82,平板电脑,"烧烤,酒",0
83,季节,"脸,轻,电影,手,视频",0
84,电视机,"果汁,纸尿裤,医疗器械",0
85,脚,"无味,烤,大,吃,嘴",0
86,胶囊,"生病,阿尔兹海默症,纸尿裤,阿尔兹海默症,有电,医疗器械,老人机,家庭主妇,阿尔兹海默症,家庭主妇,家庭主妇,阿尔兹海默症,打招呼,朋友,家",0
87,脸盆,"轻,女朋友,打招呼,满,洗",0
88,男孩,"考试,阿尔兹海默症,阿尔兹海默症,打招呼,脑卒中,阿尔兹海默症,胖,书本,矮,桌子,好奇,近,幼年,辅导,锻炼",0
89,手指,"大,嘴,块状,暖,吃,甜品,黄色,盘子,甜,面粉,烤,柱状,烤箱,牛奶,营养,叉子,重",0
90,胶囊,"动画片,卡通,孩子,叫",0
91,胸,"舒服,工作单位",0
92,耳机,"家,肌肉,看病,医院,身体,吃药",0
93,护理中心,"陪伴,医疗器械,高血压,医疗器械,医生,医院,病人,花园,看病",0
94,生姜,"坐,洗衣机,家人,冷,暖,玻璃,下午,洗衣服,休息,望远镜,盆栽,家,方形,被子,衣服",0
95,下午,"吸,客人",0
96,邻居,"少年,老人,桌游,锻炼,青年,严肃,幼年,大方,唱歌",0
97,书店,"晚上,轻松",0
98,手机,"厨房,条状,洗,火车,榨汁,配送员,市场,筷子",0
99,背包,"重,有电,测量,医疗器械,打招呼,医疗器械,同学",0
100,打,"用力,车,游戏",0
101,手写板,"白色,干涩,嘴,纯净水,吃药,孩子,朋友,杯子,同事",0
102,摇,"员工,杯子,榨汁,湿,电影,吃饭,孩子,白色,餐厅,热,电影院,朋友,黄色,解渴,喝,变质,甜",0
103,风,"大,阿尔兹海默症,高血压,小,吹,树,裙子,冬天",0
104,吸,"祖父,防止,软,脱下,烘干机,妈妈,家,洗衣机,轻,祖母,身体,冷,穿戴,棉,滑",0
105,大腿,"小腿,工作单位,女朋友,老人机",0
106,清洁工,"青年,打招呼,老人机,阿尔兹海默症,老人机,高血压,纸尿裤,女朋友,医疗器械,酒店,整理,餐厅,商场,下班",0
107,脸,"油,老人机,高血压,打招呼,红色,汗水,肉色,模特,护工",0
108,灯,"坚硬,交通",0
109,矫正板,"护士,医生,冷,大",0
110,电视机,"重,同学,白领,工作单位,旅行,学校,学生,学习,上班,大",0
111,蛋黄,"熟,条状,农田,厨师,咸,嫩,餐桌,长,市场,卡通,轻,农民,脆,种植,打开,家人",0
112,牙齿,"牙膏,黑色,小,干净,嘴,医院,黄色,方形,食物",0
113,平底锅,"围裙,黑色,厨房,烹饪,光滑",0
114,打电话,"被子,慢,家,卧室,酒店,枕头,手",0
115,胃痛,"家,打招呼,医疗器械,高血压,纸尿裤,阿尔兹海默症,骨质疏松,阿尔兹海默症,高血压,高血压,阿尔兹海默症,打招呼,女朋友,阿尔兹海默症,护士,饿,生病",0
116,晴天,"假期,可爱,牙齿,听话,爸爸,幼年,书本,看病,聪明,玩耍,青年,矮",0
117,果汁,"桌子,鼻子,冷,茶,棕色,家,圆形,嘴,空,重",0
118,门,"温度,打招呼",0
119,扶,"早餐,早晨,儿子,家,妈妈,慢,床,中午,快",0
120,窗边,"病菌,营养,手,透明,剪,保护,轻,小,硬,脚,方形",0
121,牛奶,"手,服务员,家人,酸,营养",0
122,头痛,"脚,过敏",0
123,叔叔,"侄女,有电,女朋友,医疗器械,工作单位,阿尔兹海默症,阿尔兹海默症,骨质疏松,爸爸",0
124,侄子,"脸,茶几,手机,车,慢",0
125,学校,"医生,耳朵,电影院,兔子,电视,医院,音乐,台风,休息,远,音响",0
126,生姜,"金属,旅行,彩色",0
127,猫,"大,聊天,天气",0
128,内衣,"滑,阿尔兹海默症,阿尔兹海默症",0
129,生姜,"吃饭,阿尔兹海默症,医疗器械,老人机,阿尔兹海默症,纸尿裤,夏天,轻,女朋友",0
130,皮鞋,"经理,有电,医疗器械,船,脱下,上班",0
131,吃饭,"电脑,女,活泼,工作,美容,地铁,妈妈,微波炉,丝袜,电影,手机,腼腆,化妆品,冰箱,衬衫,游戏",0
132,地板,"聊天,重,天气,大,固体,白色",0
133,剪,"头发,骨质疏松,家庭主妇,脑卒中",0
134,沙发,"光滑,灰色,大,冷,重,饿,厨房,超市,香,餐厅,食物,妈妈,黑色,胃,白色,正常,方形,故障",0
135,饼干,"快,毛巾,身体,脚,腿,轻松,慢,起床,出门,家",0
136,番茄,"吃饭,孩子,售货员,吸管,服务员,家,重,客人,酒店,餐厅,冰,甜,吸",0
137,蘑菇,"水龙头,倒出,脚,紫色,圆形,空,轻,开水,大,拿,绿色,毛巾,洗,满,黄色",0
138,胸,"快,早晨,祖父,学校,同学,嘴,晚上,家,祖母,慢,中午,多,晚餐,妈妈,认真,表达,户外,聊天",0
139,羊肉,"红色,高血压,阿尔兹海默症,家庭主妇,有电,家庭主妇,有电,纸尿裤,纸尿裤,家庭主妇,纸尿裤,阿尔兹海默症,老人机",0
140,药片,"吃饭,家庭主妇,阿尔兹海默症,老人机,阿尔兹海默症,纯净水,小,干涩,嘴,吃药,黄色",0
141,扶,"轻,阿尔兹海默症,医疗器械,女朋友",0
142,晚上,"脚,快,早晨,家,起床,身体,出门,慢,整理,腿,刷,干净,酒店,毛巾",0
143,胶囊,"柱状,打招呼,医院,病人,红色,看病,软,粉末,护士,瓶子,护工,朋友,杯子,生病",0
144,通心粉,"小,打招呼,纸尿裤,锅,粉末,主食,无味,冷,盘子",0
145,车,"坚硬,医疗器械,阿尔兹海默症,重,玻璃,大",0
146,衬衣,"轻,牛仔",0
147,玩手机,"少,阿尔兹海默症,阿尔兹海默症,纸尿裤,阿尔兹海默症,医疗器械,医疗器械,社交",0
148,摇,"船,家庭主妇",0
149,妻子,"老人,阿尔兹海默症,高血压,有电,阿尔兹海默症,装饰,鞋子,裤子",0
150,杯子,"倒出,老人机,玻璃",0
151,外婆,"按摩,阿尔兹海默症,工作单位",0
152,腰,"按摩,工作单位,家庭主妇,腰带,医生,身体,肉色,医院",0
153,风,"小,下雨,树,裙子,冬天,春天,吹,家人",0
154,按摩,"医院,高血压,医疗器械,高血压,家庭主妇,高血压,家庭主妇,按摩,医生,舒服,大",0
155,看电视,"沙发,晚上,坐,电视",0
156,丈夫,"怀孕,老人机,妈妈",0
157,大腿,"做饭,食堂,方形",0
158,橙子,"打,柔软,体温,腿",0
159,脸盆,"水龙头,家庭主妇,家庭主妇,家庭主妇,洗,手,晚上",0
160,笔,"咬,阿尔兹海默症,塑料,暖,纸,工位,小,拿,手,书本,黑色,家,桌子",0
161,洗发露,"泡沫,揉搓,洗漱",0
162,侄子,"脱下,洗衣机,身体,软,轻,薄,烘干机,滑,洗衣服",0
163,洗面奶,"红色,软,晚餐,食堂,配送员,市场,中餐,肉,干,蒸,甜,叉子,轻,片状,午餐,弹性,点菜,牛",0
164,脸盆,"光滑,家庭主妇,家庭主妇,纸尿裤,家庭主妇,老人机,家庭主妇,家庭主妇,打招呼,家庭主妇,绿色,塑料,洗,浴室,紫色,晚上,手,圆形",0
165,视频,"细,设计师,血管",0
166,豆角,"朋友,阿尔兹海默症,阿尔兹海默症,阿尔兹海默症,纸尿裤,嫩,农民,煮,条状,市场,小,厨房,脆,卡通,打开,炒,餐桌,生",0
167,大腿,"橡胶,清新,黑色,洗衣服,棕色,姐妹,瘦,女儿,穿戴,妈妈,下雨,宽,弟弟,舒服",0
168,羊肉,"咸,阿尔兹海默症,高血压,有电,干,家庭主妇,家庭主妇,阿尔兹海默症,纸尿裤,阿尔兹海默症,有电,打招呼,手,厨房,西餐,块状",0
169,电梯,"方形,工作单位,工作单位,手机,灰色,卧室,物业",0
170,帽子,"软,汤,黄色,大,能量",0
171,眼镜,"妈妈,厨房,市场,女朋友,小贩,刀,手,凉,爸爸,女儿,商场,冷,嘴,成熟,硬,吃",0
172,老鼠,"上课,柔软,餐厅,肉色,小",0
173,公园,"早餐,食物,零食,饭,盘子,菜,臭,鼻子,晚餐",0
174,药片,"慢,快,出门,家,锻炼,穿戴",0
175,郊外,"厨房,绿色,轻松,小,生病,保姆,飞,黑色",0
176,墨镜,"童年,好奇,聚会,调皮,懒散,聊天,幼年,成年,玩耍,家,考试,打招呼,女,回家,假期",0
177,虫,"丝袜,粗,长,细,短,病人,冬天,条状,锻炼,模特,受伤,夏天,轻松,生病,重,护工",0
178,洗手池,"倒出,阿尔兹海默症,女朋友,家庭主妇,厨房,头发,刷,家人,洗,方形,黄色,洗漱",0
179,浴缸,"快,轻,运动场,扭动,慢,生病,锻炼,腰带",0
180,吃饭,"饭,多,夹,活,餐厅,慢,舌头,餐具",0
181,雷电,"大,发热,音乐,重,危险,暴雨",0
182,电视机,"玩耍,高血压,医疗器械,高血压,棕色,阿尔兹海默症,阿尔兹海默症,女朋友,打招呼,关闭,祖母,儿子,零食,插头",0
183,树干,"搬运,家具,长",0
184,打,"出门,卧室,陶瓷,家,旅行",0
185,通心粉,"餐厅,纸尿裤,工作单位,家庭主妇,工作单位",0
186,太阳,"轻,重,桌子",0
187,打,"车,医疗器械,用力",0
188,青菜,"生,阿尔兹海默症,烤,豆腐,兔子",0
189,画,"设计师,老师",0
190,血压仪,"测量,家庭主妇,阿尔兹海默症,家庭主妇,阿尔兹海默症,中医,大",0
191,同学,"光滑,大,支撑,门,工人,房间,装修,病菌,室内,块状",0
192,胡萝卜,"买菜,有电,家庭主妇,工作单位,手,吃,刀,红色,老师,柱状,农民,成熟",0
193,阳台,"出门,汽车,妈妈,室内,家人,司机",0
194,充电器,"医院,暖,舒服,按摩,中医",0
195,虾,"小,胃,汤",0
196,雷电,"光,女朋友,家庭主妇,家庭主妇,阿尔兹海默症,医疗器械,阿尔兹海默症,阿尔兹海默症,老人机,老人机,有电,女朋友",0
197,擦,"袜子,脚,脱下,售货员,经理,船,白色,棕色",0
198,高肌张力,"吃药,肌肉,衣服",0
199,休息,"坐,阿尔兹海默症,医疗器械,手",0
200,高肌张力,"热心,员工,小区,厨师",0
201,中午,"回家,阿尔兹海默症,医疗器械,老人机,工作单位,阿尔兹海默症,阿尔兹海默症,阿尔兹海默症,厨师,热,太阳",0
202,袜子,"出门,臭,鞋子,脚,白天",0
203,吸,"早晨,茶,喝,快,酒,咖啡,杯子,晚上,中午,餐厅",0
204,地板,"冰箱,水泥,病菌,装修,茶几,室内,大",0
205,看,"凳子,腿,重,圆形,塑料",0
206,纸,"身体,衣柜,中午,洗,购买,大,夏天,刷,比赛,室友",0
207,血糖仪,"身体,起床,手,早晨,家,快,出门",0
208,雾,"汽车,阿尔兹海默症,家庭主妇,高血压,纸尿裤,阿尔兹海默症,家人,湿",0
209,打电话,"表达,阿尔兹海默症,阿尔兹海默症",0
210,抽屉,"家,轻",0
211,饼,"黑色,蓝色,轻松",0
212,膝盖,"医生,女朋友,骨质疏松,阿尔兹海默症,家庭主妇,运动员,老人,病人,医院,棕色,坚硬,脆弱,白色,圆形,护士,热,跑步",0
213,咬,"炒,农民,市场,煮,凉,烤,厨师,绿色,健身,厨房,沙拉,食物,生病,香,嫩,家人,生",0
214,靴子,"出门,有电,骨质疏松,家庭主妇,阿尔兹海默症,家庭主妇",0
215,剃须刀,"白色,手,混凝土",0
216,鸭肉,"交通,金属,重,方形,担架,坚硬,抬,白色,消毒液,玻璃,危险,蓝色,橡胶,大",0
217,酸奶,"钢琴,聪明,学校,椅子,自行车",0
218,擦,"手机,阿尔兹海默症,餐厅",0
219,蛋黄,"超市,棕色,洗,切,农民,晚餐,家庭主妇,冷,咸",0
220,香菜,"火锅,调味",0
221,蘑菇,"灰色,圆形,厨师,围裙,粥",0
222,卫衣,"女儿,有电,盆,衣服,叔叔,祖母,棉,爸爸,衣架,大,姐妹,妈妈,轻,舒服,祖父,洗衣机",0
223,雨,"暴雨,医疗器械,高血压,工作单位,医疗器械",0
224,午睡,"手,家庭主妇,老人机,阿尔兹海默症",0
225,风,"裙子,阿尔兹海默症,阿尔兹海默症,冬天,头发,春天,小,下雨,外套",0
226,土豆,"医生,身体,孩子,酒,医院,护工,辣,休息,看病,公司,病人,家,晚上,同事,护士,病菌,粉末",0
227,树干,"花园,家庭主妇,家庭主妇,家庭主妇,打招呼,老人机,纸尿裤,老人机,脑卒中,森林,家具,支撑",0
228,帽子,"方形,玻璃,交通,坚硬",0
229,猫,"吃饭,粉色,杯子,药店,孩子,纯净水,小,干涩,嘴,吃药,黄色",0
230,工作,"白色,圆形,无味,大,烤,重,餐厅,主食,嘴,小麦",0
231,鱼肉,"轻,光滑,条状,种植",0
232,学生,"熟,生,固体,绿色,果汁,清新,水果店,夏天,重,厨师,切块,种植,朋友,吃饭",0
233,吞,"购买,嘴,热,围裙,手,肉,臭,绿色,金属,蔬菜,腥",0
234,抓,"重,慢,药,打开,用力",0
235,袖子,时间,0
236,广场,"跳舞,方形",0
237,高肌张力,"老人机,庆祝",0
238,脖子,"椅子,白领,热,细,生病,设计师,手,短,白色,针灸,骨头,跳舞,棕色",0
239,冬季,"空调,阿尔兹海默症,过节",0
240,茶壶,"空,纸尿裤,骨质疏松,骨质疏松,老人机,有电,鼻子,冷,重,满,圆形,手,桌子",0
241,电视机,"装修,门",0
242,下午,"白领,大,上班,开放,旅行,同学,学习,学校,重,学生",0
243,通心粉,"冷,纸尿裤,打招呼,纸尿裤,工作单位,餐厅,锅,吃,盘子,面粉,黄色,小麦",0
244,腿,"营养,模特,夏天,受伤,康复,肉色,条状,病人,骑车,粗,支撑",0
245,灯,"固体,骨质疏松,高血压,有电,打招呼,玻璃,温度,电线,飞机,洗漱,汽车,早晨",0
246,听,"电视,老人机,阿尔兹海默症,医疗器械,家庭主妇,医疗器械,阿尔兹海默症,纸尿裤,音响,医生,音乐",0
247,晴天,"户外,家庭主妇,家庭主妇,科学家,热水器",0
248,茄子,"厨师,白色,农田",0
249,维修工,"青年,老人机,老人,耐心,社区,保安",0
250,胡萝卜,"成年,勤劳,妈妈,男,怀孕,晚辈,粗暴,姐妹,聊天,打招呼,工作,成熟,亲戚,温柔,上班,聚会",0
251,发现,"眼睛,图书馆",0
252,牙齿,"变质,固体,吃,黄色,沙拉,红色,家,员工,休息,客人,孩子,厨师",0
253,爷爷,"男,阿尔兹海默症,老人机,钓鱼,戏曲",0
254,平底锅,"暖,肉色,轻,小,餐厅,上课,吃,柔软",0
255,草,"春天,种植",0
256,睡衣,"软,打招呼",0
257,头,"同学,爬,腿,窄,早餐,邻居,木头,高,家人,同事,上楼,灰色,担架,走,下楼,矮,宽",0
258,喷嚏,"生病,医生",0
259,平底锅,"小,烫",0
260,筷子,"水,音乐,甜,变质,橙色",0
261,女儿,"头发,花园,慢,认真",0
262,上厕所,"肉,打,柔软,腿,腰,肉色",0
263,手腕,"轻,打,庆祝,教授,学生,痛,快,重,老师,电脑",0
264,书店,"黑色,叫,生病,小",0
265,背心,"刀,农民,锅,重,叉子,厨师",0
266,阳台,"望远镜,家庭主妇,家庭主妇,家庭主妇,休息,下午",0
267,电梯,"老人,坐,上班,中午,妈妈,快,家,慢,床,早餐,早晨,爸爸",0
268,毛巾,"秋天,冬天,身体",0
269,出租车,"温柔,女",0
270,火龙果,"祖母,去皮,爸爸,女儿,吃饭,下午茶",0
271,女孩,"家,家庭主妇,医疗器械,阿尔兹海默症,医疗器械,医疗器械,骨质疏松,老人机,妈妈,玩耍,考试,天真,自行车,病房,爸爸,纸尿裤",0
272,叔叔,"结婚,嫂子,成熟,妈妈,聚会,懒散,上班,温柔,聊天,侄女,怀孕",0
273,浴缸,"毛巾,女朋友",0
274,茄子,"块状,暖,家,睡觉,虫子,装修,病菌,中午,木头,硬,枕头,重,被子,光滑",0
275,飞机,"金属,家庭主妇,家庭主妇,医疗器械,医疗器械,白色",0
276,纸,"鸡,点菜,重,厨师,叉子,熟,白色,冰箱,超市",0
277,说话,"晚上,阿尔兹海默症,阿尔兹海默症,家,认真,早晨,嘴",0
278,睡衣,"软,老人机,有电,打招呼,老人机,阿尔兹海默症,老人机,阿尔兹海默症,阿尔兹海默症,老人机,家庭主妇,医疗器械",0
279,舅舅,"勤劳,阿尔兹海默症,工作单位,结婚,怀孕",0
280,蛋糕,"大,纸尿裤,有电,暖,吃,甜品,黄色,盘子,甜,面粉,烤,柱状,烤箱,牛奶,营养,叉子,重",0
281,蘑菇,"彩色,工作单位,高血压,有电,有电,阿尔兹海默症,阿尔兹海默症,医疗器械,纸尿裤,阿尔兹海默症,有电,阿尔兹海默症,厨师,餐桌,种植,煮,轻,市场",0
282,头绳,"胃,光滑,祖母,有电,银色,打开,食物,灰色,香,吃饭,超市,冰,爸爸,大,办公室,方形,饿",0
283,口红,"手,有电,家庭主妇,老人机,打招呼,纸尿裤,工作单位,医疗器械,家庭主妇,打招呼,家庭主妇,家庭主妇,阿尔兹海默症,女,妈妈,柔软",0
284,门口,"用力,嘴,吃,餐厅",0
285,洋葱,"刀,家庭主妇,工作单位,老人机,打招呼,高血压,阿尔兹海默症,阿尔兹海默症,老人机,看,餐具,眼睛,餐厅,孩子,辣,食堂,小贩,打开",0
286,脸,"汤,晚上,厨房,黑色,做饭,嘴,冰箱,重,坚硬,鸡,盆,煮,大",0
287,医生,"护工,阿尔兹海默症,高血压,阿尔兹海默症,阿尔兹海默症,阿尔兹海默症,阿尔兹海默症,勤劳,医院,看病",0
288,灯,"读书,医疗器械,阿尔兹海默症,医疗器械,老人机,阿尔兹海默症,高血压,家庭主妇,儿子,固体,家人,家具,家,小,女儿",0
289,牛油果,"手,有电",0
290,尝,"菜,早晨,喝,点心,中午,舌头,食堂,厨师,晚上",0
291,瘙痒,"身体,高血压,打招呼,阿尔兹海默症,阿尔兹海默症,打招呼,阿尔兹海默症,阿尔兹海默症,酒,粉末,病人,护工,家,过敏,辣",0
292,洋葱,"短,化妆,漂亮,祖母,女儿",0
293,餐巾,"冷,阿尔兹海默症,老人机,家庭主妇,女朋友,脑卒中,老人机,有电,家庭主妇,打招呼,女朋友,家庭主妇,打招呼",0
294,菜市场,"食堂,黄色,妈妈,市场,商场,主妇,爸爸,买菜,祖父,餐厅,柱状,唱歌,红色,轻,成熟,兔子",0
295,雪,"片状,老人机,有电,家庭主妇,电影,音乐,风湿病,天气",0
296,老师,"煮,硬,妈妈,勺子,孩子,剥,亲戚,锅,祖母,售货员,微波炉,打开,炖,切",0
297,香肠,"蒸,家庭主妇,煮,软,中餐,食堂,市场",0
298,婶婶,"粉色,疼痛,按摩,血管,脱下,穿戴,医生,小,营养,跳舞,舒服,内衣,锻炼",0
299,喷嚏,"车,女,漂亮,妈妈,幼年,兄弟,床",0
300,头晕,"头,阿尔兹海默症,医生",0
301,叶子,"吃药,肌肉,衣服",0
302,起床,"家,有电,家庭主妇,医疗器械,高血压,医疗器械,家庭主妇,家庭主妇,阿尔兹海默症,中午",0
303,花,"爬,灰色",0
304,打电话,"表达,老人机,女朋友,阿尔兹海默症,阿尔兹海默症,工作单位,有电,纸尿裤,阿尔兹海默症,高血压,阿尔兹海默症,家庭主妇,家,爸爸,快,晚上,手机",0
305,酸奶,"长,孩子,服务员,瘦,农民,胖,妈妈,新鲜,好吃,蒸,农田",0
306,冬季,"白色,老人机",0
307,鱼,"渔民,纸尿裤,青色,吃,煮,船,大,妈妈,小,炒,钓鱼,市场,热,重,女儿,好吃",0
308,星期,时间,0
309,轮椅,"小,肥,黑色,下水道,猫,爬,胖,轻,叫,生病,瘦,保姆,臭",0
310,风扇,"手术,棕色,看病,运动员,锻炼,白色,肉色,病人,酒,受伤,脆弱,裤子",0
311,丈夫,"温柔,阿尔兹海默症,阿尔兹海默症,阿尔兹海默症,阿尔兹海默症,骨质疏松,有电,有电,老人机,工作单位,阿尔兹海默症,医疗器械",0
312,学校,"祖父,暖,黄色,厨师,嘴,吃饭,妈妈,成熟,女儿",0
313,馒头,"老师,阿尔兹海默症,有电,纸尿裤,家庭主妇,老人机,纸尿裤,工作单位,有电,工作单位,老人机,脑卒中,打招呼,高血压,早晨,甜,晚上,小",0
314,鞋带,"轻,阿尔兹海默症,有电,打招呼,阿尔兹海默症,阿尔兹海默症,小,细,棉",0
315,腿,"祖母,冷,手,有电,大,餐厅,冬天,插头,舒服,室友,教室,祖父,关闭,塑料,火车,正常,同学",0
316,阴天,"深色,白色,脚,脱下,重,大,穿戴,鞋子,冬天,柜子,丝袜",0
317,学习,"轻,餐厅,苹果,慢,桌子,茶几,手机",0
318,卫衣,"蓝色,老人机,有电,阿尔兹海默症,洗衣粉,祖父,白色,脱下,穿戴,烘干机",0
319,捡,"腰,快,腿,手,慢,拿",0
320,妻子,"吃饭,大,开放,放松,绿色",0
321,手指,"防晒,小,防护,室友,穿戴,脏,身体,烘干机,洗衣机,电动车,棉,骑车,夏天",0
